SKU_Articulo;Nombre;Medidas;Imagen;Despiece_Texto;ID_Material;Cantidad_Necesaria;Merma_Estimada
NXTCUACOR0004;Cuadro Corazón Madera Naranja;25 x 25 x 5 cm;C:/Users/usuario/Desktop/noxertez/creador de catalogos de noxertez/imagenes/NOXERTEZ\NXTCUACOR0004\nxtcuacor0004-naranja_v1.jpg;;;0;1.1
NXTCUACOR0003;Cuadro Corazón Cerámico Amarillo;28x28x3;C:/Users/usuario/Desktop/noxertez/creador de catalogos de noxertez/imagenes/NOXERTEZ\NXTCUACOR0003\nxtcuacor0003-amarillo_v1.jpg;;;0;1.1
NXTCUACOR0011;Cuadro Corazón Madera Dorada en Caja;28 cm x 28 cm x 3 cm;C:/Users/usuario/Desktop/noxertez/creador de catalogos de noxertez/imagenes/NOXERTEZ\NXTCUACOR0011\nxtcuacor0011-amarillo_v1.jpg;;;0;1.1
NXTCUACOR0010;Cuadro Corazón Madera celeste;28 x 28 x 3 cm;C:/Users/usuario/Desktop/noxertez/creador de catalogos de noxertez/imagenes/NOXERTEZ\NXTCUACOR0010\nxtcuacor0010-amarillo_v1.jpg;;;0;1.1
NXTCUACOR0012;Cuadro Corazón Madera 3D;28 x 28 x 3 cm;C:/Users/usuario/Desktop/noxertez/creador de catalogos de noxertez/imagenes/NOXERTEZ\NXTCUACOR0012\nxtcuacor0012-amarillo_v1.jpg;;;0;1.1
NXTCUACOR0009;Cuadro Corazón Dorado Fondo Verde;28x28x4 cm;C:/Users/usuario/Desktop/noxertez/creador de catalogos de noxertez/imagenes/NOXERTEZ\NXTCUACOR0009\nxtcuacor0009-amarillo_v1.jpg;;;0;1.1
NXTCUACOR0008;Cuadro Artesanal Corazón en Madera Verde;28x28x3 cm;C:/Users/usuario/Desktop/noxertez/creador de catalogos de noxertez/imagenes/NOXERTEZ\NXTCUACOR0008\nxtcuacor0008-amarillo_v1.jpg;;;0;1.1
NXTCUACOR0020;Corazón Rústico Madera y Luces;45 cm x 37 cm aprox;C:/Users/usuario/Desktop/noxertez/creador de catalogos de noxertez/imagenes/NOXERTEZ\NXTCUACOR0020\nxtcuacor0020_v1.jpg;;;0;1.1
NXTCUANAU0021;Cuadro Velero Madera Rústico;28 x 28 x 3 cm;C:/Users/usuario/Desktop/noxertez/creador de catalogos de noxertez/imagenes/NOXERTEZ\NXTCUANAU0021\nxtcuanau0021_v1.jpg;;;0;1.1
pepepe;oleeeeeee;;imagenes\pepepe\pepepe_1.png;;;0;1.1
CHSPORTRO0030;Portavelas Rústico Madera 4 velas;20x23x8 cm aprox;C:/Users/usuario/Desktop/noxertez/creador de catalogos de noxertez/imagenes\CANDLEHOLDER\CHSPORTRO0030\CHSPORTRO0030_gal_1.jpg;;;0;1.1
NXTCUANAU0032;Cuadro Trío Marino Clásico;28 x 28 x 3 cm;C:\Users\usuario\Desktop\noxertez\creador de catalogos de noxertez\imagenes\NOXERTEZ\NXTCUANAU0032\NXTCUANAU0032_1.jpg;;;0;1.1
NXTCUANAU0033;Dúo de Peces en Relieve;28 x 28 x 3 cm;C:\Users\usuario\Desktop\noxertez\creador de catalogos de noxertez\imagenes\NOXERTEZ\NXTCUANAU0033\NXTCUANAU0033_1.jpg;;;0;1.1
NXTDECDEC0035;Peces de Madera en Estuche Artesanal;20 x 15 x 5 cm;C:\Users\usuario\Desktop\noxertez\creador de catalogos de noxertez\imagenes\NOXERTEZ\NXTDECDEC0035\NXTDECDEC0035_1.jpg;;;0;1.1
NXTPEDESC0037;Cardumen en Madera Noble;;C:\Users\usuario\Desktop\noxertez\creador de catalogos de noxertez\imagenes\NOXERTEZ\NXTPEDESC0037\NXTPEDESC0037_1.jpg;;;0;1.1
NXTLAMPAL0041;Lámpara de Madera Arquitectónica;40 x 10 x 10 cm;C:\Users\usuario\Desktop\noxertez\creador de catalogos de noxertez\imagenes\NOXERTEZ\NXTLAMPAL0041\NXTDECLÁM0040_1.png;;;0;1.1
